,F,NEPkid,MDLF,eta_circuit,W_F_spec,NEFD_line,NEFD_continuum,Pkid,pwv,EL
0,219869117864.75357,8.911375841217195e-18,1.325625241204944e-19,0.17535945834137076,437209533.8196218,6.90340952898337e-27,3.451704764491685e-27,7.965167368019216e-14,0.5,60.0
1,221243914448.39883,5.882387536715964e-18,1.157737109421328e-19,0.12697142219363708,314655626.90565264,8.377355549308156e-27,4.188677774654078e-27,3.614130650595835e-14,0.5,60.0
2,221388577945.0964,4.312377394814785e-18,6.64796234530441e-19,0.018526500897993986,621941516.1701882,2.4337249773175984e-26,1.2168624886587992e-26,1.861152676141218e-14,0.5,60.0
3,221405725689.6798,6.308776898473406e-18,1.6874256151805563e-19,0.09556245892895228,424388847.5253669,9.053013568055485e-27,4.526506784027743e-27,4.109457318832222e-14,0.5,60.0
4,221727320213.53265,9.96757143537705e-18,1.2474779107393378e-19,0.2012971592137576,591823165.6897655,4.7992502918376064e-27,2.3996251459188032e-27,1.0185645586883123e-13,0.5,60.0
5,221990932302.68246,6.831006809835849e-18,4.948143559239559e-19,0.041434796072516135,582196398.8621901,1.9351082872436445e-26,9.675541436218223e-27,4.567027856899502e-14,0.5,60.0
6,222137646538.7272,8.356248625631552e-18,1.6417710535619142e-19,0.14025190352089595,344234331.4983278,1.0859026902686839e-26,5.4295134513434194e-27,6.900839649573129e-14,0.5,60.0
7,222436431526.76172,1.3519397915163097e-17,1.572156652973006e-19,0.23988714092449084,538733250.267284,6.644381089993677e-27,3.3221905449968385e-27,1.7202165794049268e-13,0.5,60.0
8,223681485123.74118,8.995325716704097e-18,2.1760463448478397e-19,0.12642279884079652,327953641.92558205,1.51073461067485e-26,7.55367305337425e-27,7.596970499248555e-14,0.5,60.0
9,224194607159.2593,1.1184242407538408e-17,1.8018195384201333e-19,0.1791287746772735,409553190.3983743,1.0016903155583192e-26,5.008451577791596e-27,1.202703892591292e-13,0.5,60.0
10,224599499673.17172,6.869770777351411e-18,2.785841883807033e-19,0.0753045471698544,282811751.89767945,2.242804959929812e-26,1.121402479964906e-26,4.5594165179385694e-14,0.5,60.0
11,224864735754.921,1.2376522200382013e-17,1.5200101424568046e-19,0.22159130022478388,570376250.3100724,6.067608463987357e-27,3.0338042319936786e-27,1.4969665310909166e-13,0.5,60.0
12,225392108677.89102,6.649465154616807e-18,3.9823017218105565e-19,0.051964286853374966,419878374.0794757,2.1594499919051583e-26,1.0797249959525792e-26,4.2561635500399457e-14,0.5,60.0
13,225414942958.13818,9.40538093838617e-18,2.733335673264612e-19,0.10277140289444221,467847449.39157736,1.330213036525821e-26,6.651065182629105e-27,8.47821764090205e-14,0.5,60.0
14,226379726016.8201,9.512868650709693e-18,1.8326692402722656e-19,0.14361941113607388,481650019.1919312,8.663332942109922e-27,4.331666471054961e-27,8.97364065105321e-14,0.5,60.0
15,226690569354.15405,1.0349272261592555e-17,1.7383896468744134e-19,0.16403735114997858,522504431.7956051,7.575122229648693e-27,3.787561114824346e-27,1.0558835800602551e-13,0.5,60.0
16,226817796439.88657,7.062322641162268e-18,6.023420441037801e-19,0.03890592515689889,454375515.74592066,3.01828853264742e-26,1.50914426632371e-26,4.769503661658833e-14,0.5,60.0
17,227361181883.31155,1.2400567344460576e-17,1.7353738547336324e-19,0.20324402031052133,476474597.51084304,8.292506003685725e-27,4.1462530018428626e-27,1.4871291778995693e-13,0.5,60.0
18,227874218340.07266,9.386364257052773e-18,2.623079824943617e-19,0.10588404684004939,343876249.2542011,1.736768055211215e-26,8.683840276056075e-27,8.446678921482741e-14,0.5,60.0
19,228157947398.6483,1.3031496525379476e-17,2.795749692320175e-19,0.1341417629664765,506537854.4777955,1.2566631371082784e-26,6.283315685541392e-27,1.6185589728476337e-13,0.5,60.0
20,228616577445.0945,1.60652382859531e-17,2.325274692627477e-19,0.1968022452346012,503778531.45252156,1.0509138249690397e-26,5.2545691248451984e-27,2.4269346470761836e-13,0.5,60.0
21,229576534577.59967,3.5399948362768356e-17,6.927507430390767e-19,0.14429278631348105,378984254.2665196,4.161868271209477e-26,2.0809341356047384e-26,1.1376499371273029e-12,0.5,60.0
22,229891165783.81467,7.0883577627774e-17,1.8380847422000388e-18,0.10333391653222812,539878650.4992906,7.751787748809093e-26,3.8758938744045466e-26,4.471548631059034e-12,0.5,60.0
23,230127313148.51926,5.901971047362999e-17,6.439738421758195e-19,0.23325687702295494,429649612.04886234,3.4126071737775343e-26,1.7063035868887672e-26,3.1252901867438543e-12,0.5,60.0
24,231011809917.33194,1.3764710435677019e-17,3.0478456194563405e-19,0.11674506319019662,364174795.0079199,1.9055290638563412e-26,9.527645319281706e-27,1.7750835681740917e-13,0.5,60.0
25,231274127451.38898,1.2579826414377512e-17,2.0591340801040094e-19,0.15768880749378347,450483285.81728125,1.0407308799644763e-26,5.2036543998223816e-27,1.5161363602892524e-13,0.5,60.0
26,231749846011.37247,1.0306934695650113e-17,1.7731169615278386e-19,0.1489753538546226,441941512.8081809,9.134927033414802e-27,4.567463516707401e-27,1.0383914482134609e-13,0.5,60.0
27,232342369086.4999,1.149706779645979e-17,1.405508955131832e-19,0.21381739584951084,405600596.93050474,7.88982786170283e-27,3.944913930851415e-27,1.2891124337054532e-13,0.5,60.0
28,232555568585.36774,7.577921504014303e-18,2.5625421853045737e-19,0.0782399728964913,407331203.5502044,1.4323720553063005e-26,7.161860276531502e-27,5.668814199717228e-14,0.5,60.0
29,232966394777.17975,1.3034286992631423e-17,1.2702636038240705e-19,0.2686757744315871,473375260.9903793,6.1097127680806734e-27,3.0548563840403367e-27,1.6602227369525722e-13,0.5,60.0
30,233098020198.17035,9.109155039618815e-18,4.3336358320132294e-19,0.05810341567037557,720199250.7892381,1.3700368377197296e-26,6.850184188598648e-27,8.090873502677427e-14,0.5,60.0
31,233796795174.82495,1.4550683825230054e-17,1.5002630224901606e-19,0.26233920607941763,538028315.1037753,6.348845659595483e-27,3.1744228297977414e-27,2.0590896863342068e-13,0.5,60.0
32,234080235031.10944,9.56407337671525e-18,3.092288354552595e-19,0.08693388855661506,511220754.0786464,1.3772221685360665e-26,6.886110842680332e-27,8.986281630951686e-14,0.5,60.0
33,235039872434.66296,1.3115503382572951e-17,1.8800345377575084e-19,0.19166000917948206,510836475.3469378,8.37946756805423e-27,4.189733784027115e-27,1.6707317486492384e-13,0.5,60.0
34,235459572492.64267,7.895467095486316e-18,2.9759425296678677e-19,0.07541724831524682,405461595.20531267,1.6711187489455877e-26,8.355593744727938e-27,6.15509304368745e-14,0.5,60.0
35,235639854887.14328,1.3135267493425953e-17,2.5264702714620095e-19,0.1479297505671991,568547082.3012793,1.0117664021163566e-26,5.058832010581783e-27,1.669531212113281e-13,0.5,60.0
36,236798918585.50223,9.333910685864029e-18,3.8591969666123927e-19,0.06903643958252248,612021372.0672522,1.4356971987743236e-26,7.178485993871618e-27,8.474923644740057e-14,0.5,60.0
37,236816543523.67047,1.2877969968640686e-17,1.4837233540280573e-19,0.23965904227058607,379433558.1965907,8.903273004637816e-27,4.451636502318908e-27,1.6011537718195254e-13,0.5,60.0
38,237396652816.11017,1.1972133231945166e-17,3.6978503055736673e-19,0.09416950227185182,518230465.3238657,1.624646511538312e-26,8.12323255769156e-27,1.3683521950174617e-13,0.5,60.0
39,237597417976.52145,1.483630977860815e-17,1.9109384323253292e-19,0.21707588095951805,419836342.57476395,1.0363326032607311e-26,5.181663016303656e-27,2.0948273138059085e-13,0.5,60.0
40,238156041087.5198,1.977215689899554e-17,2.487912142983181e-19,0.22326929835285234,545895236.5819856,1.0376675400987412e-26,5.188337700493706e-27,3.6688598993114326e-13,0.5,60.0
41,238662373812.75656,1.1997613387456161e-17,2.5648328374952857e-19,0.1323614106744769,391394881.7683965,1.4920260975695305e-26,7.460130487847652e-27,1.3714665222300939e-13,0.5,60.0
42,239759488126.47952,1.1483540335230703e-17,5.443111740893066e-19,0.0614943319395197,533327631.29729,2.323729982838778e-26,1.161864991419389e-26,1.2383272289279018e-13,0.5,60.0
43,239830790274.95596,1.5418131233367515e-17,1.8962955916986883e-19,0.22531318924867957,367925193.82251114,1.1734889501777585e-26,5.867444750888792e-27,2.2398859509035996e-13,0.5,60.0
44,240299405669.0588,1.5219043787778093e-17,4.24971760123308e-19,0.10362806497730036,423949667.20679265,2.282329109273953e-26,1.1411645546369765e-26,2.154048115532739e-13,0.5,60.0
45,240601793155.50342,1.6347105256266294e-17,3.648854126345581e-19,0.12672007040749783,450144459.54453945,1.8455979061597637e-26,9.227989530798818e-27,2.4859040821681834e-13,0.5,60.0
46,240941365941.29276,2.456355257670734e-17,4.472994754487825e-19,0.1581089683166468,481538925.79325277,2.1149469861161284e-26,1.0574734930580642e-26,5.555333481609072e-13,0.5,60.0
47,241612170740.7124,2.2188318650845167e-17,5.3937565384270735e-19,0.11710915415109922,631360088.4655967,1.94512139816466e-26,9.7256069908233e-27,4.542187426472365e-13,0.5,60.0
48,241663847176.1319,1.385941065614743e-17,8.273903480661224e-19,0.04968333336099977,492113592.7609273,3.828049860316819e-26,1.9140249301584094e-26,1.7750013407718714e-13,0.5,60.0
49,242310824501.83444,2.1224394258043883e-17,1.0287834103812726e-18,0.06017872722262235,1111603712.9867191,2.1072034085625364e-26,1.0536017042812682e-26,4.156142006308334e-13,0.5,60.0
50,242320062543.17227,2.7487861351329803e-17,3.273452981336662e-19,0.2431372286759584,458173003.4683459,1.6267061464588285e-26,8.133530732294142e-27,6.945905833016598e-13,0.5,60.0
51,243009427559.07504,2.634114438669593e-17,3.923621493298743e-19,0.1905020053482797,549570045.4886855,1.6255358351292823e-26,8.127679175646412e-27,6.400066934769158e-13,0.5,60.0
52,243680537124.31754,2.4574858766843957e-17,3.938307085317829e-19,0.17766819083931676,524812851.7912693,1.708589021789125e-26,8.542945108945625e-27,5.572014757182872e-13,0.5,60.0
53,244568910632.89386,2.0834847482513952e-17,4.034297068345072e-19,0.14565401743470624,413234587.1547217,2.2228169860409852e-26,1.1114084930204926e-26,4.002884818796184e-13,0.5,60.0
54,245080071794.80573,2.357486649711915e-17,3.297497889680303e-19,0.19903400990018408,447359219.5109546,1.6782653600207735e-26,8.391326800103868e-27,5.121964535713393e-13,0.5,60.0
55,245434382990.1969,1.723336379453146e-17,7.053569103829457e-19,0.06994933689014887,408691510.4818791,3.9295770206089474e-26,1.9647885103044737e-26,2.7317783957054936e-13,0.5,60.0
56,245642375372.13242,2.5386969168833913e-17,2.840885657605035e-19,0.24684981383095878,521444299.51255125,1.2404473241236501e-26,6.2022366206182505e-27,5.952637477165894e-13,0.5,60.0
57,246665119953.9172,1.4182418489818897e-17,3.234965015379641e-19,0.12187996395999706,352508405.5410697,2.0894530047811873e-26,1.0447265023905937e-26,1.8701537534659817e-13,0.5,60.0
58,247207181799.15854,1.91107023839812e-17,2.8129039213279167e-19,0.18949736498451478,597213038.6620662,1.0724032315823285e-26,5.3620161579116425e-27,3.4301184967488e-13,0.5,60.0
59,247526099498.8422,1.3486527110673425e-17,8.29103627076762e-19,0.046601931839124325,542155150.570971,3.481911460359477e-26,1.7409557301797385e-26,1.6866768009567216e-13,0.5,60.0
60,247780330438.48184,1.379327898434557e-17,2.6831144726411974e-19,0.14497584108001513,426878088.34505343,1.4310929268750668e-26,7.155464634375334e-27,1.7965956020935123e-13,0.5,60.0
61,248557298934.47495,1.2140680122521369e-17,1.9451216381994954e-19,0.17625699296899253,454947607.3390439,9.734594741383447e-27,4.867297370691723e-27,1.4263725592720934e-13,0.5,60.0
62,249965692957.88986,7.063172071636389e-18,1.7855545730717177e-19,0.11603857039839074,484069123.540684,8.3984326313107e-27,4.19921631565535e-27,5.2308999976988306e-14,0.5,60.0
63,250075738655.80048,6.673398787057883e-18,1.0891925338163744e-19,0.17855830990995647,400663657.35186607,6.189523284576595e-27,3.0947616422882975e-27,4.896777514932596e-14,0.5,60.0
64,250180953132.21295,5.78618601754573e-18,5.667926514642027e-19,0.029783163032008057,646891911.588934,1.994917712596931e-26,9.974588562984656e-27,3.317916266423841e-14,0.5,60.0
65,250763338565.6329,5.305756157491081e-18,9.707269873058422e-20,0.15602517358446918,461714236.66056615,4.78692181459051e-27,2.393460907295255e-27,3.316296693488606e-14,0.5,60.0
66,251423812705.4219,4.405109237367176e-18,1.3938952061207033e-19,0.0911028446552302,397745682.78931755,7.979159499140569e-27,3.9895797495702845e-27,2.21155381240642e-14,0.5,60.0
67,251656290219.5503,5.9439017795715025e-18,2.3182172757397437e-19,0.0740992950137771,625307711.713261,8.440979580005333e-27,4.220489790002667e-27,3.706298972276165e-14,0.5,60.0
68,251763514245.59296,9.835795088344234e-18,1.1528592404091915e-19,0.24472392247316435,368491750.5676156,7.123296332325676e-27,3.561648166162838e-27,9.632053422983212e-14,0.5,60.0
69,252241405986.204,1.4805551422634244e-17,2.3473592822190686e-19,0.18211809021641945,530039979.7363925,1.0083317322618215e-26,5.0416586613091075e-27,2.0865995184255783e-13,0.5,60.0
70,252951203361.8429,1.4859906232344326e-17,2.7207819009979712e-19,0.15766825656637518,642099716.1786921,9.647699067588121e-27,4.8238495337940605e-27,2.1017706276245863e-13,0.5,60.0
71,253125082274.44055,8.151633012502582e-18,3.2541955545446567e-19,0.0729723505281619,476288933.8779521,1.555627646126836e-26,7.77813823063418e-27,6.434988302196599e-14,0.5,60.0
72,254181307419.30313,1.1442019717422478e-17,3.1156148531735833e-19,0.1068996359168396,493770932.1742729,1.4366492225932868e-26,7.183246112966434e-27,1.247278104303449e-13,0.5,60.0
73,254498660162.12857,1.2387340646915168e-17,1.8071648230604708e-19,0.19865260585240613,498591613.8386828,8.252495406069512e-27,4.126247703034756e-27,1.4776634636649917e-13,0.5,60.0
74,255483746825.43063,9.614365190659454e-18,2.1852404775011013e-19,0.12870165476108297,415239155.1480732,1.1982113637563655e-26,5.9910568187818276e-27,8.944353114022255e-14,0.5,60.0
75,256018814537.3442,8.450729753253897e-18,1.3027145874038048e-19,0.19035679794664603,423968400.6199618,6.995975564534943e-27,3.4979877822674714e-27,7.22611828946615e-14,0.5,60.0
76,256157405145.88403,7.609991793628047e-18,4.2179389697929844e-19,0.05331563245775812,640184543.6493745,1.5001255344386152e-26,7.500627672193076e-27,5.635340248345895e-14,0.5,60.0
77,256509245767.68552,6.1220588023774764e-18,1.4343830456541623e-19,0.12616915818376107,450807998.8739927,7.244460125735903e-27,3.6222300628679514e-27,4.038420793628407e-14,0.5,60.0
78,256901151558.75232,7.147693320223686e-18,9.499104150894446e-20,0.2228979004731521,543878125.9273294,3.9766150649419415e-27,1.9883075324709707e-27,5.727130889564856e-14,0.5,60.0
79,257373208887.3401,4.424298548266604e-18,1.1135937656413621e-19,0.11838075548564576,398127021.8586796,6.368507023783812e-27,3.184253511891906e-27,2.3078891992012823e-14,0.5,60.0
80,258033881698.6525,1.0907276986421562e-17,1.3413886894562093e-19,0.24442537372587217,573443393.1902035,5.3259438444717104e-27,2.6629719222358552e-27,1.1980009999806368e-13,0.5,60.0
81,258314616335.6158,6.367085755260586e-18,2.440031190492056e-19,0.07951105902329511,569007586.3751997,9.763596377567104e-27,4.881798188783552e-27,4.2788765282960413e-14,0.5,60.0
82,259499158009.1223,1.3195274011274486e-17,3.1296306228439004e-19,0.1282719286831135,725552108.6765431,9.821028478988715e-27,4.9105142394943575e-27,1.6769896064480177e-13,0.5,60.0
83,259681833074.48944,7.484213747431244e-18,4.177649663246829e-19,0.0548384982323674,488275590.9071728,1.948047308249944e-26,9.74023654124972e-27,5.438723638769078e-14,0.5,60.0
84,260178045921.80157,8.210079778945996e-18,2.8307788668496973e-19,0.08846774353217467,399101546.4652104,1.6149349388835383e-26,8.074674694417692e-27,6.538979243416769e-14,0.5,60.0
85,260544959866.32462,9.93727635202221e-18,2.0979422170374133e-19,0.14412832846822365,478782756.6789926,9.97671389195602e-27,4.98835694597801e-27,9.706107676393843e-14,0.5,60.0
86,261660675016.81003,6.629526604378203e-18,4.349728305853354e-19,0.046945563517946244,763342905.420015,1.2974031666830302e-26,6.487015833415151e-27,4.397654035803324e-14,0.5,60.0
87,261711425751.46805,6.955344725422337e-18,1.1636203004261029e-19,0.18353344792077256,391691344.96505404,6.76394099676777e-27,3.381970498383885e-27,5.099604666258389e-14,0.5,60.0
88,262077212425.75217,6.754167071592749e-18,1.0343186249672115e-19,0.2013059418059069,582090323.8141357,4.0457259537567514e-27,2.0228629768783757e-27,5.218806582682464e-14,0.5,60.0
89,262644717911.4267,4.869125736574629e-18,1.234487842996605e-19,0.12254433117303469,437260428.2939439,6.4280483987085064e-27,3.2140241993542532e-27,2.7390833441058013e-14,0.5,60.0
90,263724897588.03223,8.706683921593192e-18,1.71366143365551e-19,0.16343726382823484,480856744.88987803,8.114127117811393e-27,4.0570635589056966e-27,7.698993154868507e-14,0.5,60.0
91,263796540436.64304,4.753037681005876e-18,4.937883612463925e-19,0.03075283839580499,1003765781.4145137,1.120059152666579e-26,5.600295763332895e-27,2.4338521317864817e-14,0.5,60.0
92,264030119206.9349,1.0653622162439937e-17,1.7043390789666783e-19,0.19854639937296636,531241288.0853779,7.304604011895832e-27,3.652302005947916e-27,1.1293891699733565e-13,0.5,60.0
93,265028035590.22043,8.954657229600895e-18,3.439795115811176e-19,0.08254093049821516,773540564.4470785,1.0124695691691454e-26,5.062347845845727e-27,7.926115975053784e-14,0.5,60.0
94,265078398100.56564,1.0808545109522975e-17,1.3412556440985388e-19,0.25479771681187374,465039492.782503,6.566806549829316e-27,3.283403274914658e-27,1.1571726957045985e-13,0.5,60.0
95,266002431143.7726,7.386712940665302e-18,1.8332512728818794e-19,0.12811457531872172,444293449.4805719,9.394736019157633e-27,4.6973680095788166e-27,5.569693231312943e-14,0.5,60.0
96,266322180254.2383,6.435963636335682e-18,1.5228616171234865e-19,0.13467073456979667,596214694.2853194,5.815542871739601e-27,2.9077714358698006e-27,4.5365964414014336e-14,0.5,60.0
97,266647268949.02344,6.808567643174962e-18,9.174780012782833e-20,0.23721043105439554,526426479.011416,3.9681714693805136e-27,1.9840857346902568e-27,5.212440649357539e-14,0.5,60.0
98,267695299621.84286,5.2171372144888136e-18,1.4452859267628778e-19,0.11695809075663849,491066554.7369598,6.701097143275047e-27,3.350548571637523e-27,3.1055326534038447e-14,0.5,60.0
99,268065417453.1955,1.2272672872940048e-17,1.9736876796585857e-19,0.20113857733295198,724462464.110756,6.202903686584108e-27,3.101451843292054e-27,1.4942620026427126e-13,0.5,60.0
100,268652036547.7875,5.444669659009567e-18,1.907632961197866e-19,0.0927107089512681,400573300.94844484,1.0842896567379435e-26,5.421448283689717e-27,3.124876952774306e-14,0.5,60.0
101,269091189880.86148,7.064192299651951e-18,1.7063230517072966e-19,0.1343866662368226,460193380.76890844,8.442156264978571e-27,4.2210781324892854e-27,5.107498080926904e-14,0.5,60.0
102,269834135305.62177,7.828638576346378e-18,2.0094937106873505e-19,0.12726265251589244,430230477.98682725,1.0634522015941473e-26,5.3172610079707365e-27,6.153367760795052e-14,0.5,60.0
103,270181247936.16315,7.81637620308264e-18,1.3965704671713188e-19,0.18286916511805743,537212649.2365258,5.9190106352363304e-27,2.9595053176181652e-27,6.37588502050876e-14,0.5,60.0
104,270903786083.92368,7.963019943263957e-18,1.4038998534224445e-19,0.18692148785618734,672884327.2227979,4.750378473784062e-27,2.375189236892031e-27,6.892664868194713e-14,0.5,60.0
105,271440766829.5246,4.2429824283870396e-18,1.7699510942866496e-19,0.07936460467327157,426116233.3462063,9.457267722453027e-27,4.728633861226514e-27,2.022025791645622e-14,0.5,60.0
106,271717268042.22205,4.923355181938723e-18,1.1052150504517315e-19,0.14757228504362016,460908660.67109865,5.459645167479198e-27,2.729822583739599e-27,2.808369047686414e-14,0.5,60.0
107,272454933584.4896,6.406356161186626e-18,3.795956498767173e-19,0.05676305750543488,696550806.0946741,1.2407975409106655e-26,6.2039877045533275e-27,4.208377732854901e-14,0.5,60.0
108,272630852102.8908,1.1054081453367498e-17,2.155511244302159e-19,0.17281141094390973,728689217.7405953,6.735044130566504e-27,3.367522065283252e-27,1.2268575064394163e-13,0.5,60.0
109,273192574967.58188,7.547614308280917e-18,2.1932908489599874e-19,0.11759642222480958,440778779.9833457,1.1329429585992269e-26,5.664714792996134e-27,5.765296094894003e-14,0.5,60.0
110,273768741608.01727,7.90383802415051e-18,1.8507504807450868e-19,0.14474747640564517,494715486.7335788,8.517749455718341e-27,4.258874727859171e-27,6.461412029477442e-14,0.5,60.0
111,274353637244.9419,6.644076435678986e-18,1.5020016435296604e-19,0.15173182986398195,530856131.5637068,6.442079297064726e-27,3.221039648532363e-27,4.828181078787531e-14,0.5,60.0
112,274855989546.14664,8.71525047994223e-18,1.186954400425909e-19,0.251077579518788,600086378.5282793,4.50352691421496e-27,2.25176345710748e-27,8.110637935358542e-14,0.5,60.0
113,275204766692.07,5.048264983167866e-18,1.5894909479671906e-19,0.10879605806780718,545253163.6260765,6.637313961291076e-27,3.318656980645538e-27,2.986408323569307e-14,0.5,60.0
114,275997785892.0945,7.317886492003317e-18,1.9376436503561341e-19,0.13016122109584446,485506683.5985448,9.086804680216371e-27,4.5434023401081855e-27,5.566298475412966e-14,0.5,60.0
